('ill', 'books/book2|4 books/book3|2')
('less', 'books/book2|1')
('minutes', 'books/book2|3')
('crown', 'books/book2|1')
('shot', 'books/book2|1')
('send', 'books/book2|1')
('shant', 'books/book2|1')
('sends', 'books/book2|1')
('size', 'books/book2|1')
('joe', 'books/book2|1')
('joke', 'books/book2|1')
('sending', 'books/book2|1')
('steady', 'books/book2|1')
('somehow', 'books/book2|1')
('open', 'books/book2|2 books/book3|1')
('bird', 'books/book2|1')
('snapped', 'books/book2|1')
('sticks', 'books/book2|1')
('dressed', 'books/book2|1')
('streets', 'books/book2|1')
('pouring', 'books/book2|1')
('forth', 'books/book2|1')
('seen', 'books/book2|1 books/book1|1 books/book3|4')
('irresistibly', 'books/book2|1')
('goodhumored', 'books/book2|1')
('fellows', 'books/book2|1')
('afterwards', 'books/book2|1')
('those', 'books/book2|1 books/book3|3')
('afternoon', 'books/book2|1 books/book3|2')
('steps', 'books/book2|1 books/book3|1')
('dozen', 'books/book2|1')
('knock', 'books/book2|1')
('home', 'books/book2|2')
('along', 'books/book2|1')
('lock', 'books/book2|1')
('fred', 'books/book2|3')
('soul', 'books/book2|1')
('dinner', 'books/book2|1')
('shake', 'books/book2|1')
('arm', 'books/book2|1')
('topper', 'books/book2|1')
('softly', 'books/book1|1')
('idol', 'books/book1|2')
('cause', 'books/book1|1')
('fear', 'books/book1|1')
('nobler', 'books/book1|1 books/book3|1')
('engrosses', 'books/book1|1')
('sought', 'books/book1|1 books/book3|1')
('plump', 'books/book2|1')
('wonderful', 'books/book2|4')
('early', 'books/book2|2')
('catch', 'books/book2|1')
('thing', 'books/book2|1 books/book3|1')
('nine', 'books/book2|2')
('wide', 'books/book2|1')
('might', 'books/book2|1 books/book3|3')
('comforter', 'books/book2|1')
('stool', 'books/book2|1 books/book3|1')
('overtake', 'books/book2|1')
('near', 'books/book2|1 books/book3|1')
('feign', 'books/book2|1')
('step', 'books/book2|1')
('making', 'books/book2|1')
('yesterday', 'books/book2|1')
('going', 'books/book3|2')
('longer', 'books/book3|1')
